SMILES,MolecularWeight,LogP,Activity
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,312.32500000000005,2.8032000000000004,6.12
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,376.9130000000002,4.554600000000004,7.0
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,426.8510000000001,5.357400000000003,
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,404.8450000000001,4.706900000000003,6.52
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,346.33400000000006,3.095300000000001,6.1
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,338.43600000000004,4.079920000000002,5.62
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,296.783,2.850100000000001,7.0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,408.95500000000027,4.571200000000005,
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,292.364,2.2053000000000003,6.1
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,408.4050000000001,4.670100000000003,
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,348.4280000000002,2.3659999999999997,
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,312.3980000000001,3.3499000000000017,7.3
C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,394.4710000000002,4.0084000000000035,
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,338.4360000000001,3.8637000000000032,6.25
CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,288.37600000000003,2.700100000000001,
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,406.9830000000003,5.724900000000006,
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,358.85400000000004,4.424900000000004,5.85
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,266.34099999999995,2.5731200000000003,4.77
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,368.4620000000001,4.170200000000003,5.96
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,408.57100000000014,6.0304200000000066,
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,336.8480000000002,3.7744000000000026,7.58
O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,406.81700000000006,3.553200000000002,
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,276.365,2.5051200000000007,6.1
